sea,ocean,area,depth,coordinates,named_after
http://www.wikidata.org/entity/Q34675,http://www.wikidata.org/entity/Q1239,251000,90,Point(52.0 26.0),http://www.wikidata.org/entity/Q3746183
http://www.wikidata.org/entity/Q150370,http://www.wikidata.org/entity/Q98,240000,5140,Point(119.666666666 -7.0),
http://www.wikidata.org/entity/Q34575,http://www.wikidata.org/entity/Q3301962,214000,2100,Point(25.3 38.5),http://www.wikidata.org/entity/Q191725
http://www.wikidata.org/entity/Q131274,http://www.wikidata.org/entity/Q788,178000,1004,Point(-137.0 72.0),http://www.wikidata.org/entity/Q21186
http://www.wikidata.org/entity/Q131274,http://www.wikidata.org/entity/Q788,178000,4683,Point(-137.0 72.0),http://www.wikidata.org/entity/Q21186
http://www.wikidata.org/entity/Q13924,http://www.wikidata.org/entity/Q4918,138595,1233,Point(15.426111 42.775833),http://www.wikidata.org/entity/Q34615
http://www.wikidata.org/entity/Q13924,http://www.wikidata.org/entity/Q3301962,138595,1233,Point(15.426111 42.775833),http://www.wikidata.org/entity/Q34615
http://www.wikidata.org/entity/Q1649939,http://www.wikidata.org/entity/Q118383320,79000,293,Point(19.5 61.5),
http://www.wikidata.org/entity/Q277014,http://www.wikidata.org/entity/Q98,45000,1590,Point(116.070555555 -7.661944444),
http://www.wikidata.org/entity/Q35000,http://www.wikidata.org/entity/Q166,37600,14.5,Point(37.0 46.0),
http://www.wikidata.org/entity/Q130456032,,32000,,,
http://www.wikidata.org/entity/Q14686,http://www.wikidata.org/entity/Q545,29500,121,Point(26.0 59.833333333),http://www.wikidata.org/entity/Q33
http://www.wikidata.org/entity/Q509321,http://www.wikidata.org/entity/Q7354,21000,,Point(92.0 -66.0),
http://www.wikidata.org/entity/Q3240274,http://www.wikidata.org/entity/Q13924,210,94,Point(15.4370712 43.7831646),http://www.wikidata.org/entity/Q928983
http://www.wikidata.org/entity/Q2006740,,,,,http://www.wikidata.org/entity/Q1325371
http://www.wikidata.org/entity/Q2010428,,,,,
http://www.wikidata.org/entity/Q2012111,,,,Point(24.11666667 78.63333333),http://www.wikidata.org/entity/Q234926
http://www.wikidata.org/entity/Q2067956,http://www.wikidata.org/entity/Q545,,5,Point(23.08333 58.75),
http://www.wikidata.org/entity/Q2068404,http://www.wikidata.org/entity/Q4918,,,Point(33.8333 35.8333),
http://www.wikidata.org/entity/Q2322479,http://www.wikidata.org/entity/Q788,,,Point(-107.0 78.5),http://www.wikidata.org/entity/Q52878
http://www.wikidata.org/entity/Q2355931,http://www.wikidata.org/entity/Q12355425,,,Point(177.188 -26.8242),
http://www.wikidata.org/entity/Q2357232,,,,Point(20.0 58.0),
http://www.wikidata.org/entity/Q3094964,,,,,
http://www.wikidata.org/entity/Q3265357,,,,,
http://www.wikidata.org/entity/Q1640853,http://www.wikidata.org/entity/Q34575,,,Point(26.333333333 37.466666666),
http://www.wikidata.org/entity/Q1902276,http://www.wikidata.org/entity/Q7354,,,Point(105.0 -65.0),http://www.wikidata.org/entity/Q434281
http://www.wikidata.org/entity/Q1913944,http://www.wikidata.org/entity/Q4918,,,,
http://www.wikidata.org/entity/Q1971856,http://www.wikidata.org/entity/Q350134,,,Point(-7.0 57.0),
http://www.wikidata.org/entity/Q2001466,,,,,
http://www.wikidata.org/entity/Q33629,http://www.wikidata.org/entity/Q788,,620,Point(77.0 77.0),http://www.wikidata.org/entity/Q2425552
http://www.wikidata.org/entity/Q34640,http://www.wikidata.org/entity/Q350134,,180,Point(-2.0 50.0),
http://www.wikidata.org/entity/Q37884,,,,,
http://www.wikidata.org/entity/Q41735,http://www.wikidata.org/entity/Q350134,,262,Point(-5.0 53.5),http://www.wikidata.org/entity/Q22890
http://www.wikidata.org/entity/Q81499,http://www.wikidata.org/entity/Q350134,,,Point(-7.914444444 50.502222222),
http://www.wikidata.org/entity/Q131418,http://www.wikidata.org/entity/Q1239,,3200,Point(126.0 -11.0),
http://www.wikidata.org/entity/Q159252,http://www.wikidata.org/entity/Q788,,1256,Point(-171.29 69.51),
http://www.wikidata.org/entity/Q169274,http://www.wikidata.org/entity/Q350134,,7000,Point(-66.175 28.335555555),http://www.wikidata.org/entity/Q865061
http://www.wikidata.org/entity/Q185291,http://www.wikidata.org/entity/Q98,,,Point(125.416666666 -0.416666666),
http://www.wikidata.org/entity/Q193149,http://www.wikidata.org/entity/Q34575,,,Point(25.07083334 36.00027779),
http://www.wikidata.org/entity/Q193465,http://www.wikidata.org/entity/Q1239,,3470,Point(122.003333333 -9.539722222),
http://www.wikidata.org/entity/Q200712,http://www.wikidata.org/entity/Q6008933,,2500,Point(1.5 40.0),
http://www.wikidata.org/entity/Q210855,http://www.wikidata.org/entity/Q98,,,Point(128.0 -2.5),
http://www.wikidata.org/entity/Q212083,http://www.wikidata.org/entity/Q98,,,Point(128.833333333 -0.333333333),
http://www.wikidata.org/entity/Q217501,http://www.wikidata.org/entity/Q45823,,210,Point(54.0 69.75),http://www.wikidata.org/entity/Q8168
http://www.wikidata.org/entity/Q243125,http://www.wikidata.org/entity/Q788,,,Point(-57.133888888 83.293611111),http://www.wikidata.org/entity/Q435793
http://www.wikidata.org/entity/Q259929,http://www.wikidata.org/entity/Q788,,,Point(-17.0 82.25),http://www.wikidata.org/entity/Q21717269
http://www.wikidata.org/entity/Q271043,http://www.wikidata.org/entity/Q118383320,,,Point(19.166666666 60.166666666),
http://www.wikidata.org/entity/Q315954,http://www.wikidata.org/entity/Q98,,,Point(179.833333333 -17.666666666),http://www.wikidata.org/entity/Q1510685
http://www.wikidata.org/entity/Q350134,http://www.wikidata.org/entity/Q97,,,Point(-33.0 47.0),http://www.wikidata.org/entity/Q659
http://www.wikidata.org/entity/Q350134,http://www.wikidata.org/entity/Q39061,,,Point(-33.0 47.0),http://www.wikidata.org/entity/Q659
http://www.wikidata.org/entity/Q351668,,,,Point(165.85 -20.84),
http://www.wikidata.org/entity/Q379063,http://www.wikidata.org/entity/Q34575,,1600,Point(25.16666667 40.36666667),
http://www.wikidata.org/entity/Q392623,,,,Point(124.5 11.825),
http://www.wikidata.org/entity/Q398805,,,,,
http://www.wikidata.org/entity/Q474708,http://www.wikidata.org/entity/Q98,,,Point(123.666666666 11.5),
http://www.wikidata.org/entity/Q489170,,,,Point(120.245638888 36.123455555),
http://www.wikidata.org/entity/Q544914,http://www.wikidata.org/entity/Q1239,,4131,Point(75.0 8.0),
http://www.wikidata.org/entity/Q594834,,,,Point(122.5 12.666666666),http://www.wikidata.org/entity/Q1859702
http://www.wikidata.org/entity/Q624569,,,,Point(128.756666666 34.014722222),
http://www.wikidata.org/entity/Q645271,http://www.wikidata.org/entity/Q2887451,,3068,Point(6.0 40.0),
http://www.wikidata.org/entity/Q645271,http://www.wikidata.org/entity/Q6008933,,3068,Point(6.0 40.0),
http://www.wikidata.org/entity/Q650654,http://www.wikidata.org/entity/Q118383320,,,Point(20.932 60.256),
http://www.wikidata.org/entity/Q738028,http://www.wikidata.org/entity/Q3301962,,,Point(24.4 34.0),
http://www.wikidata.org/entity/Q816210,http://www.wikidata.org/entity/Q118383310,,,Point(11.0 55.5),
http://www.wikidata.org/entity/Q840427,http://www.wikidata.org/entity/Q34575,,,Point(23.75 36.933333333),
http://www.wikidata.org/entity/Q938709,,,,,
http://www.wikidata.org/entity/Q1061490,http://www.wikidata.org/entity/Q97,,,Point(-74.83 45.33),
http://www.wikidata.org/entity/Q1251080,http://www.wikidata.org/entity/Q98,,,Point(-70.75 -23.0),
http://www.wikidata.org/entity/Q1251080,http://www.wikidata.org/entity/Q12355425,,,Point(-70.75 -23.0),
http://www.wikidata.org/entity/Q1363807,http://www.wikidata.org/entity/Q1239,,,Point(55.0 12.0),
http://www.wikidata.org/entity/Q1391243,http://www.wikidata.org/entity/Q7354,,,Point(140.0 -65.0),http://www.wikidata.org/entity/Q204735
http://www.wikidata.org/entity/Q1393536,http://www.wikidata.org/entity/Q7354,,,Point(20.0 -67.0),http://www.wikidata.org/entity/Q154927
http://www.wikidata.org/entity/Q1423108,http://www.wikidata.org/entity/Q131418,,,Point(127.0 -9.0),
http://www.wikidata.org/entity/Q1482804,http://www.wikidata.org/entity/Q97,,,Point(-18.83777 -33.73345),
http://www.wikidata.org/entity/Q1482804,http://www.wikidata.org/entity/Q41228,,,Point(-18.83777 -33.73345),
http://www.wikidata.org/entity/Q1576011,,,3000,Point(22.0 -68.0),
http://www.wikidata.org/entity/Q3301962,http://www.wikidata.org/entity/Q4918,,,,
http://www.wikidata.org/entity/Q3306186,,,,Point(-8.0 58.0),
http://www.wikidata.org/entity/Q3306193,http://www.wikidata.org/entity/Q37660,,,Point(118.0 13.0),
http://www.wikidata.org/entity/Q3306208,http://www.wikidata.org/entity/Q4918,,,Point(12.5684 36.2974),
http://www.wikidata.org/entity/Q3306215,http://www.wikidata.org/entity/Q1239,,,Point(50.0 -7.0),
http://www.wikidata.org/entity/Q3705990,,,,,
http://www.wikidata.org/entity/Q3846739,http://www.wikidata.org/entity/Q4918,,,Point(6.137346 42.28365),
http://www.wikidata.org/entity/Q5353147,,,,Point(140.0 -26.0),
http://www.wikidata.org/entity/Q5662512,,,,Point(-67.278138888 -55.983722222),
http://www.wikidata.org/entity/Q5762423,,,,Point(-7.0 56.0),
http://www.wikidata.org/entity/Q6008933,http://www.wikidata.org/entity/Q4918,,,,
http://www.wikidata.org/entity/Q6449691,,,,,
http://www.wikidata.org/entity/Q7261453,,,,Point(113.616666666 22.15),
http://www.wikidata.org/entity/Q10461055,,,,Point(-62.0 48.0),http://www.wikidata.org/entity/Q94532303
http://www.wikidata.org/entity/Q10537328,http://www.wikidata.org/entity/Q788,,,Point(-12.628921 66.923107),http://www.wikidata.org/entity/Q3740828
http://www.wikidata.org/entity/Q10829960,http://www.wikidata.org/entity/Q37660,,,Point(107.0 1.0),
http://www.wikidata.org/entity/Q11785663,,,,,
http://www.wikidata.org/entity/Q11931930,http://www.wikidata.org/entity/Q4918,,,,
http://www.wikidata.org/entity/Q11935054,http://www.wikidata.org/entity/Q200712,,,Point(2.17343 40.3094),
http://www.wikidata.org/entity/Q11959711,http://www.wikidata.org/entity/Q45823,,,Point(33.31054694 70.77244306),
http://www.wikidata.org/entity/Q12304781,http://www.wikidata.org/entity/Q816210,,,Point(10.888888888 55.825),
http://www.wikidata.org/entity/Q12343704,http://www.wikidata.org/entity/Q12328385,,,,
http://www.wikidata.org/entity/Q12353254,http://www.wikidata.org/entity/Q98,,,,
http://www.wikidata.org/entity/Q12353254,http://www.wikidata.org/entity/Q39061,,,,
http://www.wikidata.org/entity/Q12355425,http://www.wikidata.org/entity/Q98,,,Point(-130.0 -45.0),
http://www.wikidata.org/entity/Q12355425,http://www.wikidata.org/entity/Q41228,,,Point(-130.0 -45.0),
http://www.wikidata.org/entity/Q13136164,,,,,
http://www.wikidata.org/entity/Q13402972,http://www.wikidata.org/entity/Q41602,,,Point(137.0 54.66666667),
http://www.wikidata.org/entity/Q20055349,http://www.wikidata.org/entity/Q748696,,,Point(28.75 36.25),http://www.wikidata.org/entity/Q18927
http://www.wikidata.org/entity/Q20820157,,,,,
http://www.wikidata.org/entity/Q21659469,,,,,
http://www.wikidata.org/entity/Q24828473,http://www.wikidata.org/entity/Q788,,,Point(-25.0 83.5),
http://www.wikidata.org/entity/Q24843517,,,,Point(130.757777777 -0.903333333),
http://www.wikidata.org/entity/Q24880742,,,,Point(106.833333333 -2.75),
http://www.wikidata.org/entity/Q25024224,,,,Point(23.75 39.583333333),
http://www.wikidata.org/entity/Q25117278,,,,Point(20.2925 39.230555555),
http://www.wikidata.org/entity/Q25159890,,,,Point(19.778888888 39.903333333),
http://www.wikidata.org/entity/Q26233842,,,,,
http://www.wikidata.org/entity/Q27259779,,,,Point(129.816111111 41.596111111),
http://www.wikidata.org/entity/Q28059689,,,,Point(38.0 81.5),http://www.wikidata.org/entity/Q9439
http://www.wikidata.org/entity/Q31477352,,,,Point(120.305277777 5.351666666),
http://www.wikidata.org/entity/Q31568167,,,,Point(120.170555555 12.013888888),
http://www.wikidata.org/entity/Q31808869,,,,Point(120.398333333 5.2775),
http://www.wikidata.org/entity/Q33155344,,,,Point(138.102 9.538),
http://www.wikidata.org/entity/Q33155356,,,,Point(-106.76729 78.5104),
http://www.wikidata.org/entity/Q34765248,,,,Point(134.624 7.503),
http://www.wikidata.org/entity/Q43182728,http://www.wikidata.org/entity/Q350134,,,,
http://www.wikidata.org/entity/Q43182957,http://www.wikidata.org/entity/Q98,,,,
http://www.wikidata.org/entity/Q49096182,,,,Point(-166.739444444 65.351111111),
http://www.wikidata.org/entity/Q49096185,,,,Point(-153.09223 59.84868),
http://www.wikidata.org/entity/Q49096188,,,,Point(-174.073333333 52.213611111),
http://www.wikidata.org/entity/Q49096194,,,,Point(-156.080555555 70.9025),
http://www.wikidata.org/entity/Q49096196,,,,Point(5.85 62.75),
http://www.wikidata.org/entity/Q49096199,,,,Point(122.05 28.85),
http://www.wikidata.org/entity/Q49096203,,,,Point(-166.5575 68.373611111),
http://www.wikidata.org/entity/Q49096208,,,,Point(122.5 29.783333333),
http://www.wikidata.org/entity/Q49096211,,,,Point(-82.142777777 26.935555555),
http://www.wikidata.org/entity/Q49096214,,,,Point(-122.875277777 48.387222222),
http://www.wikidata.org/entity/Q49096217,http://www.wikidata.org/entity/Q918799,,,Point(119.533333333 23.6),
http://www.wikidata.org/entity/Q49096217,http://www.wikidata.org/entity/Q918799,,,Point(119.568333333 23.634722222),
http://www.wikidata.org/entity/Q49096222,,,,Point(-166.61146 65.23931),
http://www.wikidata.org/entity/Q49096224,,,,Point(122.484722222 29.993055555),
http://www.wikidata.org/entity/Q49096225,,,,Point(111.05 19.883333333),
http://www.wikidata.org/entity/Q49096231,,,,Point(98.704166666 8.0425),
http://www.wikidata.org/entity/Q49096241,,,,Point(-160.012222222 70.597222222),
http://www.wikidata.org/entity/Q49374125,,,,Point(-166.75 65.35),
http://www.wikidata.org/entity/Q60038397,http://www.wikidata.org/entity/Q1239,,,Point(51.35965 2.847819444),
http://www.wikidata.org/entity/Q79826481,http://www.wikidata.org/entity/Q26080,,,Point(5.494333333 53.335138888),
http://www.wikidata.org/entity/Q79826495,http://www.wikidata.org/entity/Q26080,,,Point(7.808527777 53.736972222),
http://www.wikidata.org/entity/Q79831056,http://www.wikidata.org/entity/Q26080,,,Point(8.607192 55.304237),
http://www.wikidata.org/entity/Q85801337,,,,Point(-54.24812 49.49992),
http://www.wikidata.org/entity/Q85801337,,,,Point(-54.116666666 49.55),
http://www.wikidata.org/entity/Q104018603,http://www.wikidata.org/entity/Q37660,,,Point(108.9759753 6.8228983),
http://www.wikidata.org/entity/Q108136656,http://www.wikidata.org/entity/Q1239,,,,http://www.wikidata.org/entity/Q659
http://www.wikidata.org/entity/Q108136656,http://www.wikidata.org/entity/Q39061,,,,http://www.wikidata.org/entity/Q659
http://www.wikidata.org/entity/Q108136656,http://www.wikidata.org/entity/Q1239,,,,http://www.wikidata.org/entity/Q1239
http://www.wikidata.org/entity/Q108136656,http://www.wikidata.org/entity/Q39061,,,,http://www.wikidata.org/entity/Q1239
http://www.wikidata.org/entity/Q108136663,http://www.wikidata.org/entity/Q1239,,,,http://www.wikidata.org/entity/Q667
http://www.wikidata.org/entity/Q108136663,http://www.wikidata.org/entity/Q41228,,,,http://www.wikidata.org/entity/Q667
http://www.wikidata.org/entity/Q108136663,http://www.wikidata.org/entity/Q1239,,,,http://www.wikidata.org/entity/Q1239
http://www.wikidata.org/entity/Q108136663,http://www.wikidata.org/entity/Q41228,,,,http://www.wikidata.org/entity/Q1239
http://www.wikidata.org/entity/Q111384093,http://www.wikidata.org/entity/Q1239,,,Point(115.46484 5.63127),
http://www.wikidata.org/entity/Q111384093,http://www.wikidata.org/entity/Q715269,,,Point(115.46484 5.63127),
http://www.wikidata.org/entity/Q111384107,http://www.wikidata.org/entity/Q715269,,,Point(19.70067 38.13065),
http://www.wikidata.org/entity/Q113547460,http://www.wikidata.org/entity/Q1247,,,,
http://www.wikidata.org/entity/Q113547766,http://www.wikidata.org/entity/Q97,,,,
http://www.wikidata.org/entity/Q113562091,http://www.wikidata.org/entity/Q1239,,,,
http://www.wikidata.org/entity/Q113634843,http://www.wikidata.org/entity/Q788,,,,
http://www.wikidata.org/entity/Q116873759,,,,Point(-6.39897 49.921278),
http://www.wikidata.org/entity/Q130066125,http://www.wikidata.org/entity/Q12304781,,,,http://www.wikidata.org/entity/Q351668
http://www.wikidata.org/entity/Q131359127,,,,,
http://www.wikidata.org/entity/Q134567182,http://www.wikidata.org/entity/Q4918,,,,
http://www.wikidata.org/entity/Q136162963,http://www.wikidata.org/entity/Q748696,,,Point(33.3746612 35.75121968),http://www.wikidata.org/entity/Q620864
