sea,seaLabel,oceanLabel,area,depth,coordinates,named_afterLabel
http://www.wikidata.org/entity/Q1649939,Bothnian Sea,Восточная Балтика,79000,293,Point(19.5 61.5),
http://www.wikidata.org/entity/Q277014,Бали,Тихий океан,45000,1590,Point(116.070555555 -7.661944444),
http://www.wikidata.org/entity/Q35000,Азовское море,Чёрное море,37600,14.5,Point(37.0 46.0),
http://www.wikidata.org/entity/Q130456032,Q130456032,,32000,,,
http://www.wikidata.org/entity/Q14686,Финский залив,Балтийское море,29500,121,Point(26.0 59.833333333),Финляндия
http://www.wikidata.org/entity/Q509321,Море Дейвиса,Южный океан,21000,,Point(92.0 -66.0),
http://www.wikidata.org/entity/Q3240274,Murter Sea,Адриатическое море,210,94,Point(15.4370712 43.7831646),Муртер
http://www.wikidata.org/entity/Q33629,Карское море,Северный Ледовитый океан,,620,Point(77.0 77.0),Кара
http://www.wikidata.org/entity/Q34640,Ла-Манш,Северная Атлантика,,180,Point(-2.0 50.0),
http://www.wikidata.org/entity/Q37884,Makran Sea,,,,,
http://www.wikidata.org/entity/Q41735,Ирландское море,Северная Атлантика,,262,Point(-5.0 53.5),Ирландия
http://www.wikidata.org/entity/Q81499,Кельтское море,Северная Атлантика,,,Point(-7.914444444 50.502222222),
http://www.wikidata.org/entity/Q131418,Тиморское море,Индийский океан,,3200,Point(126.0 -11.0),
http://www.wikidata.org/entity/Q159252,Чукотское море,Северный Ледовитый океан,,1256,Point(-171.29 69.51),
http://www.wikidata.org/entity/Q169274,Саргассово море,Северная Атлантика,,7000,Point(-66.175 28.335555555),Саргассум
http://www.wikidata.org/entity/Q185291,Молуккское море,Тихий океан,,,Point(125.416666666 -0.416666666),
http://www.wikidata.org/entity/Q193149,Критское море,Эгейское море,,,Point(25.07083334 36.00027779),
http://www.wikidata.org/entity/Q193465,Море Саву,Индийский океан,,3470,Point(122.003333333 -9.539722222),
http://www.wikidata.org/entity/Q200712,Балеарское море,Western Mediterranean,,2500,Point(1.5 40.0),
http://www.wikidata.org/entity/Q210855,Море Серам,Тихий океан,,,Point(128.0 -2.5),
http://www.wikidata.org/entity/Q212083,Море Хальмахера,Тихий океан,,,Point(128.833333333 -0.333333333),
http://www.wikidata.org/entity/Q217501,Печорское море,Баренцево море,,210,Point(54.0 69.75),Печора
http://www.wikidata.org/entity/Q243125,Море Линкольна,Северный Ледовитый океан,,,Point(-57.133888888 83.293611111),Роберт Тодд Линкольн
http://www.wikidata.org/entity/Q259929,Море Ванделя,Северный Ледовитый океан,,,Point(-17.0 82.25),Карл Фредерик Вандель
http://www.wikidata.org/entity/Q271043,Аландское море,Восточная Балтика,,,Point(19.166666666 60.166666666),
http://www.wikidata.org/entity/Q315954,Море Коро,Тихий океан,,,Point(179.833333333 -17.666666666),Коро
http://www.wikidata.org/entity/Q350134,Северная Атлантика,Атлантический океан,,,Point(-33.0 47.0),север
http://www.wikidata.org/entity/Q350134,Северная Атлантика,Северное полушарие,,,Point(-33.0 47.0),север
http://www.wikidata.org/entity/Q351668,Южное море,,,,Point(165.85 -20.84),
http://www.wikidata.org/entity/Q379063,Фракийское море,Эгейское море,,1600,Point(25.16666667 40.36666667),
http://www.wikidata.org/entity/Q392623,Море Самар,,,,Point(124.5 11.825),
http://www.wikidata.org/entity/Q398805,Китайские моря,,,,,
http://www.wikidata.org/entity/Q474708,Море Висаян,Тихий океан,,,Point(123.666666666 11.5),
http://www.wikidata.org/entity/Q489170,Цзяочжоу,,,,Point(120.245638888 36.123455555),
http://www.wikidata.org/entity/Q544914,Лаккадивское море,Индийский океан,,4131,Point(75.0 8.0),
http://www.wikidata.org/entity/Q594834,Сибуян,,,,Point(122.5 12.666666666),Сибуян
http://www.wikidata.org/entity/Q624569,Namhae,,,,Point(128.756666666 34.014722222),
http://www.wikidata.org/entity/Q645271,Сардинское море,Algerian-Provençal Basin,,3068,Point(6.0 40.0),
http://www.wikidata.org/entity/Q645271,Сардинское море,Western Mediterranean,,3068,Point(6.0 40.0),
http://www.wikidata.org/entity/Q650654,Архипелаговое море,Восточная Балтика,,,Point(20.932 60.256),
http://www.wikidata.org/entity/Q738028,Ливийское море,Восточное Средиземноморье,,,Point(24.4 34.0),
http://www.wikidata.org/entity/Q816210,Датские проливы,Western Baltic,,,Point(11.0 55.5),
http://www.wikidata.org/entity/Q840427,Миртойское море,Эгейское море,,,Point(23.75 36.933333333),
http://www.wikidata.org/entity/Q938709,Мастоглоевое море,,,,,
http://www.wikidata.org/entity/Q1061490,Море Шамплена,Атлантический океан,,,Point(-74.83 45.33),
http://www.wikidata.org/entity/Q1251080,Чилийское море,Тихий океан,,,Point(-70.75 -23.0),
http://www.wikidata.org/entity/Q1251080,Чилийское море,South Pacific Ocean,,,Point(-70.75 -23.0),
http://www.wikidata.org/entity/Q1363807,Эритрейское море,Индийский океан,,,Point(55.0 12.0),
http://www.wikidata.org/entity/Q1391243,море Дюрвиля,Южный океан,,,Point(140.0 -65.0),Жюль Себастьен Сезар Дюмон-Дюрвиль
http://www.wikidata.org/entity/Q1393536,Море Короля Хокона VII,Южный океан,,,Point(20.0 -67.0),Хокон VII
http://www.wikidata.org/entity/Q1423108,Timor Gap,Тиморское море,,,Point(127.0 -9.0),
http://www.wikidata.org/entity/Q1482804,Южная Атлантика,Атлантический океан,,,Point(-18.83777 -33.73345),
http://www.wikidata.org/entity/Q1482804,Южная Атлантика,Южное полушарие,,,Point(-18.83777 -33.73345),
http://www.wikidata.org/entity/Q1576011,Море Рисер-Ларсена,,,3000,Point(22.0 -68.0),
http://www.wikidata.org/entity/Q2006740,Литориновое море,,,,,литторины
http://www.wikidata.org/entity/Q2010428,Иольдиевое море,,,,,
http://www.wikidata.org/entity/Q2012111,Olgastretet,,,,Point(24.11666667 78.63333333),Ольга Николаевна
http://www.wikidata.org/entity/Q2067956,Вяйнамери,Балтийское море,,5,Point(23.08333 58.75),
http://www.wikidata.org/entity/Q2068404,Кипрское море,Средиземное море,,,Point(33.8333 35.8333),
http://www.wikidata.org/entity/Q2322479,Море Густава-Адольфа,Северный Ледовитый океан,,,Point(-107.0 78.5),Густав VI Адольф
http://www.wikidata.org/entity/Q2355931,Море Фиджи,South Pacific Ocean,,,Point(177.188 -26.8242),
http://www.wikidata.org/entity/Q2357232,Eemian sea,,,,Point(20.0 58.0),
http://www.wikidata.org/entity/Q3094964,Diestiaan Sea,,,,,
http://www.wikidata.org/entity/Q3265357,Cretaceous Sea,,,,,
http://www.wikidata.org/entity/Q1640853,Икарийское море,Эгейское море,,,Point(26.333333333 37.466666666),
http://www.wikidata.org/entity/Q1902276,Море Моусона,Южный океан,,,Point(105.0 -65.0),Дуглас Моусон
http://www.wikidata.org/entity/Q1913944,Понт Эвксинский,Средиземное море,,,,
http://www.wikidata.org/entity/Q1971856,Гебридское море,Северная Атлантика,,,Point(-7.0 57.0),
http://www.wikidata.org/entity/Q2001466,Norwegian continental shelf,,,,,
http://www.wikidata.org/entity/Q3301962,Восточное Средиземноморье,Средиземное море,,,,
http://www.wikidata.org/entity/Q3306186,seas west of Scotland,,,,Point(-8.0 58.0),
http://www.wikidata.org/entity/Q3306193,Западно-Филиппинское море,Южно-Китайское море,,,Point(118.0 13.0),
http://www.wikidata.org/entity/Q3306208,Sea of Sicily,Средиземное море,,,Point(12.5684 36.2974),
http://www.wikidata.org/entity/Q3306215,Sea of Zanj,Индийский океан,,,Point(50.0 -7.0),
http://www.wikidata.org/entity/Q3705990,Паннонское море,,,,,
http://www.wikidata.org/entity/Q3846739,Q3846739,Средиземное море,,,Point(6.137346 42.28365),
http://www.wikidata.org/entity/Q5353147,Eromanga Sea,,,,Point(140.0 -26.0),
http://www.wikidata.org/entity/Q5662512,Southern Zone Sea,,,,Point(-67.278138888 -55.983722222),
http://www.wikidata.org/entity/Q5762423,Inner Seas off the West Coast of Scotland,,,,Point(-7.0 56.0),
http://www.wikidata.org/entity/Q6008933,Western Mediterranean,Средиземное море,,,,
http://www.wikidata.org/entity/Q6449691,Kven Sea,,,,,
http://www.wikidata.org/entity/Q7261453,Jiuzhouyang,,,,Point(113.616666666 22.15),
http://www.wikidata.org/entity/Q10461055,Goldthwait Sea,,,,Point(-62.0 48.0),James Walter Goldthwait
http://www.wikidata.org/entity/Q10537328,Исландское море,Северный Ледовитый океан,,,Point(-12.628921 66.923107),Исландия
http://www.wikidata.org/entity/Q10829960,Natuna Sea,Южно-Китайское море,,,Point(107.0 1.0),
http://www.wikidata.org/entity/Q11785663,Q11785663,,,,,
http://www.wikidata.org/entity/Q11931930,Q11931930,Средиземное море,,,,
http://www.wikidata.org/entity/Q11935054,Catalan Sea,Балеарское море,,,Point(2.17343 40.3094),
http://www.wikidata.org/entity/Q11959711,Austhavet,Баренцево море,,,Point(33.31054694 70.77244306),
http://www.wikidata.org/entity/Q12304781,Belt Sea,Датские проливы,,,Point(10.888888888 55.825),
http://www.wikidata.org/entity/Q12343704,Q12343704,Q12328385,,,,
http://www.wikidata.org/entity/Q12353254,Северный Тихий океан,Тихий океан,,,,
http://www.wikidata.org/entity/Q12353254,Северный Тихий океан,Северное полушарие,,,,
http://www.wikidata.org/entity/Q12355425,South Pacific Ocean,Тихий океан,,,Point(-130.0 -45.0),
http://www.wikidata.org/entity/Q12355425,South Pacific Ocean,Южное полушарие,,,Point(-130.0 -45.0),
http://www.wikidata.org/entity/Q13136164,Holstein Sea,,,,,
http://www.wikidata.org/entity/Q13402972,Шантарское море,Охотское море,,,Point(137.0 54.66666667),
http://www.wikidata.org/entity/Q20055349,Lycian Sea,Левантийское море,,,Point(28.75 36.25),Ликия
http://www.wikidata.org/entity/Q20820157,high seas,,,,,
http://www.wikidata.org/entity/Q21659469,Понтическое море,,,,,
http://www.wikidata.org/entity/Q24828473,McKinley Sea,Северный Ледовитый океан,,,Point(-25.0 83.5),
http://www.wikidata.org/entity/Q24843517,Selat Sagawin,,,,Point(130.757777777 -0.903333333),
http://www.wikidata.org/entity/Q24880742,Laut Lepar,,,,Point(106.833333333 -2.75),
http://www.wikidata.org/entity/Q25024224,Q25024224,,,,Point(23.75 39.583333333),
http://www.wikidata.org/entity/Q25117278,Q25117278,,,,Point(20.2925 39.230555555),
http://www.wikidata.org/entity/Q25159890,Q25159890,,,,Point(19.778888888 39.903333333),
http://www.wikidata.org/entity/Q26233842,Agulhas Sea,,,,,
http://www.wikidata.org/entity/Q27259779,Q27259779,,,,Point(129.816111111 41.596111111),
http://www.wikidata.org/entity/Q28059689,Море Королевы Виктории,,,,Point(38.0 81.5),Виктория
http://www.wikidata.org/entity/Q31477352,Bakor Sea,,,,Point(120.305277777 5.351666666),
http://www.wikidata.org/entity/Q31568167,Dipulao Sea,,,,Point(120.170555555 12.013888888),
http://www.wikidata.org/entity/Q31808869,Kalupag Sea,,,,Point(120.398333333 5.2775),
http://www.wikidata.org/entity/Q33155344,Philippine Sea - Yap Islands,,,,Point(138.102 9.538),
http://www.wikidata.org/entity/Q33155356,Prince Gustaf Adolf Sea,,,,Point(-106.76729 78.5104),
http://www.wikidata.org/entity/Q34765248,North West Pacific Ocean - E to S of Palau Islands,,,,Point(134.624 7.503),
http://www.wikidata.org/entity/Q43182728,Northeast Atlantic,Северная Атлантика,,,,
http://www.wikidata.org/entity/Q43182957,Northwest Pacific,Тихий океан,,,,
http://www.wikidata.org/entity/Q49096182,Brevig Lagoon,,,,Point(-166.739444444 65.351111111),
http://www.wikidata.org/entity/Q49096185,Chinitna Bay,,,,Point(-153.09223 59.84868),
http://www.wikidata.org/entity/Q49096188,Gunasamilga,,,,Point(-174.073333333 52.213611111),
http://www.wikidata.org/entity/Q49096194,Kuyanak Bay,,,,Point(-156.080555555 70.9025),
http://www.wikidata.org/entity/Q49096196,Q49096196,,,,Point(5.85 62.75),
http://www.wikidata.org/entity/Q49096199,Q49096199,,,,Point(122.05 28.85),
http://www.wikidata.org/entity/Q49096203,Marryat Inlet,,,,Point(-166.5575 68.373611111),
http://www.wikidata.org/entity/Q49096208,Q49096208,,,,Point(122.5 29.783333333),
http://www.wikidata.org/entity/Q49096211,Myakka Cutoff,,,,Point(-82.142777777 26.935555555),
http://www.wikidata.org/entity/Q49096214,Northwest Straits,,,,Point(-122.875277777 48.387222222),
http://www.wikidata.org/entity/Q49096217,Penghu Bay,Пэнху,,,Point(119.533333333 23.6),
http://www.wikidata.org/entity/Q49096217,Penghu Bay,Пэнху,,,Point(119.568333333 23.634722222),
http://www.wikidata.org/entity/Q49096222,Q49096222,,,,Point(-166.61146 65.23931),
http://www.wikidata.org/entity/Q49096224,Putuo Yang,,,,Point(122.484722222 29.993055555),
http://www.wikidata.org/entity/Q49096225,Q49096225,,,,Point(111.05 19.883333333),
http://www.wikidata.org/entity/Q49096231,Thale Ko Yao,,,,Point(98.704166666 8.0425),
http://www.wikidata.org/entity/Q49096241,Wainwright Inlet,,,,Point(-160.012222222 70.597222222),
http://www.wikidata.org/entity/Q49374125,Breving Lagoon,,,,Point(-166.75 65.35),
http://www.wikidata.org/entity/Q60038397,Somali Sea,Индийский океан,,,Point(51.35965 2.847819444),
http://www.wikidata.org/entity/Q79826481,Dutch Wadden Sea,Ваттовое море,,,Point(5.494333333 53.335138888),
http://www.wikidata.org/entity/Q79826495,German Wadden Sea,Ваттовое море,,,Point(7.808527777 53.736972222),
http://www.wikidata.org/entity/Q79831056,Danish Wadden Sea,Ваттовое море,,,Point(8.607192 55.304237),
http://www.wikidata.org/entity/Q85801337,Sir Charles Hamilton Sound,,,,Point(-54.24812 49.49992),
http://www.wikidata.org/entity/Q85801337,Sir Charles Hamilton Sound,,,,Point(-54.116666666 49.55),
http://www.wikidata.org/entity/Q104018603,North Natuna Sea,Южно-Китайское море,,,Point(108.9759753 6.8228983),
http://www.wikidata.org/entity/Q108136656,Northern Indian Ocean,Индийский океан,,,,север
http://www.wikidata.org/entity/Q108136656,Northern Indian Ocean,Северное полушарие,,,,север
http://www.wikidata.org/entity/Q108136656,Northern Indian Ocean,Индийский океан,,,,Индийский океан
http://www.wikidata.org/entity/Q108136656,Northern Indian Ocean,Северное полушарие,,,,Индийский океан
http://www.wikidata.org/entity/Q108136663,Southern Indian Ocean,Индийский океан,,,,юг
http://www.wikidata.org/entity/Q108136663,Southern Indian Ocean,Южное полушарие,,,,юг
http://www.wikidata.org/entity/Q108136663,Southern Indian Ocean,Индийский океан,,,,Индийский океан
http://www.wikidata.org/entity/Q108136663,Southern Indian Ocean,Южное полушарие,,,,Индийский океан
http://www.wikidata.org/entity/Q111384093,South China and Eastern Archipelagic Seas,Индийский океан,,,Point(115.46484 5.63127),
http://www.wikidata.org/entity/Q111384093,South China and Eastern Archipelagic Seas,Мировой океан,,,Point(115.46484 5.63127),
http://www.wikidata.org/entity/Q111384107,регион Средиземного моря,Мировой океан,,,Point(19.70067 38.13065),
http://www.wikidata.org/entity/Q113547460,Юкатанское море,Карибское море,,,,
http://www.wikidata.org/entity/Q113547766,Багамское море,Атлантический океан,,,,
http://www.wikidata.org/entity/Q113562091,Сейшельское море,Индийский океан,,,,
http://www.wikidata.org/entity/Q113634843,Море Парри,Северный Ледовитый океан,,,,
http://www.wikidata.org/entity/Q116873759,North West Passage,,,,Point(-6.39897 49.921278),
http://www.wikidata.org/entity/Q130066125,Danish Southern Sea,Belt Sea,,,,Южное море
http://www.wikidata.org/entity/Q131359127,Апшеронское море,,,,,
http://www.wikidata.org/entity/Q134567182,Sardoum Mare,Средиземное море,,,,
http://www.wikidata.org/entity/Q136162963,Cilician Sea,Левантийское море,,,Point(33.3746612 35.75121968),Киликия
